country_code,n_loans,total_loan_amount,population,population_below_poverty_line,poverty_rate,iso3,urban_rural_gap
AF,2337,1967950.0,35530081.0,35.8,0.358,AFG,0.21499999999999997
AL,3075,4307350.0,2930187.0,14.3,0.14300000000000002,ALB,0.004
AM,13952,22950475.0,2930450.0,32.0,0.32,ARM,0.0
AZ,10172,14784625.0,9827589.0,4.9,0.049,AZE,0.026000000000000002
BA,608,477250.0,3507017.0,17.2,0.172,BIH,0.0
BF,3489,4085200.0,19193382.0,40.1,0.401,BFA,0.395
BG,296,375300.0,7084571.0,22.0,0.22,BGR,
BI,1727,5233450.0,10864245.0,64.6,0.6459999999999999,BDI,0.272
BJ,5946,3865825.0,11175692.0,36.2,0.36200000000000004,BEN,0.194
BO,25250,44226725.0,11051600.0,38.6,0.386,BOL,0.17200000000000001
BR,482,1192325.0,209288278.0,3.7,0.037000000000000005,BRA,0.038
BT,2,20000.0,807610.0,13.3,0.133,BTN,0.14
BW,1,8000.0,2291661.0,30.3,0.303,BWA,
BZ,218,150175.0,374681.0,41.0,0.41,BLZ,0.022
CA,1,50000.0,36624199.0,9.4,0.094,CAN,
CD,5074,18813425.0,81339988.0,63.0,0.63,COD,0.258
CG,952,2265350.0,5260750.0,46.5,0.465,COG,0.21100000000000002
CI,283,345300.0,24294750.0,46.3,0.46299999999999997,CIV,0.265
CL,892,2595925.0,18054726.0,14.4,0.14400000000000002,CHL,
CM,5085,2250800.0,24053727.0,30.0,0.3,CMR,0.30200000000000005
CN,134,380525.0,1409517397.0,3.3,0.033,CHN,0.021
CO,33675,23613975.0,49065615.0,27.8,0.278,COL,0.052
CR,4681,5644350.0,4905769.0,21.7,0.217,CRI,
DO,4654,9308000.0,10766998.0,30.5,0.305,DOM,0.019
EC,33471,35519000.0,16624858.0,25.6,0.256,ECU,0.024999999999999998
EG,2460,1415025.0,97553151.0,25.2,0.252,EGY,0.009000000000000001
GE,6483,9570425.0,3912061.0,9.2,0.092,GEO,
GH,22121,15262725.0,28833629.0,24.2,0.242,GHA,0.15999999999999998
