country_code,n_loans,total_loan_amount,population,population_below_poverty_line,poverty_rate,iso3,urban_rural_gap,atms_per_100k,bank_accounts_per_1000,bank_branches_per_100k,credit_private_gdp,bank_branches_per_100k_z,atms_per_100k_z,bank_accounts_per_1000_z,financial_access_index
AF,2337,1967950.0,35530081.0,35.8,0.358,AFG,0.2149999999999999,1.626189,178.79321,1.9176134,3.271406666666667,-0.6455752954786086,-0.7931847968412763,-0.980721072077474,-0.8064937214657864
AL,3075,4307350.0,2930187.0,14.3,0.143,ALB,0.004,30.683033,1093.3100333333332,18.949247,35.03466666666666,0.2465799517645159,-0.22110021045017106,0.9695486337033958,0.33167612500591354
AM,13952,22950475.0,2930450.0,32.0,0.32,ARM,0.0,65.05809866666667,,24.131826666666665,62.61763333333334,0.5180551227588114,0.45569198432783314,,0.4868735535433223
AZ,10172,14784625.0,9827589.0,4.9,0.049,AZE,0.026,34.15000733333334,,6.7689817,23.2668,-0.3914497202810564,-0.15284081595042484,,-0.27214526811574064
BA,608,477250.0,3507017.0,17.2,0.172,BIH,0.0,57.57146725,,30.07565175,57.97266666666667,0.829406039607512,0.30829172167486213,,0.5688488806411871
BF,3489,4085200.0,19193382.0,40.1,0.401,BFA,0.395,4.233170233333333,184.73121333333333,2.9103041,27.86123333333333,-0.5935759255007076,-0.7418573443278211,-0.968057873633934,-0.7678303811541541
BG,296,375300.0,7084571.0,22.0,0.22,BGR,,93.03356433333333,1473.05325,56.979487666666664,50.5403,2.238689432365691,1.0064858938457961,1.7793770289223634,1.674850785044617
BI,1727,5233450.0,10864245.0,64.6,0.6459999999999999,BDI,0.272,,,,20.408133333333335,,,,
BJ,5946,3865825.0,11175692.0,36.2,0.362,BEN,0.194,4.717320033333333,283.1119933333334,3.5453497666666665,16.631400000000003,-0.5603108061902691,-0.7323251790973392,-0.7582541281262826,-0.6836300378046302
BO,25250,44226725.0,11051600.0,38.6,0.386,BOL,0.172,41.57730766666666,,51.42186366666667,69.52625,1.9475685962643137,-0.006608691112727026,,0.9704799525757933
BR,482,1192325.0,209288278.0,3.7,0.037,BRA,0.038,101.94881233333332,663.9101499999999,18.520970000000002,64.33703333333334,0.22414583993489423,1.1820134206705992,0.05382399883180931,0.48666108647910084
BT,2,20000.0,807610.0,13.3,0.133,BTN,0.14,46.011880000000005,,18.8505875,64.68496666666667,0.24141194541335864,0.08070122042262222,,0.16105658291799044
