country_code,year,n_loans,total_loan_amount,gdp_pc_const2015,log_gdp_pc
AF,2015,1,6000.0,565.5697304087512,6.337833595485375
AF,2016,1,8000.0,563.8723367231469,6.334827872548524
AL,2013,3,5850.0,3895.899756219416,8.267679934508259
AL,2014,603,902550.0,4045.119348849334,8.305266334335277
AL,2015,638,844375.0,4199.539129253976,8.342730067120554
AL,2016,475,639025.0,4431.556358141677,8.396506123719536
AL,2017,215,274700.0,4648.230786606584,8.44424195018346
AM,2013,79,131725.0,3266.2988299987346,8.091412766588741
AM,2014,1968,3280025.0,3393.0925232688396,8.129497033280357
AM,2015,2534,3519825.0,3512.3935027670905,8.164052993685441
AM,2016,2902,4357525.0,3533.8850360700676,8.170153121527093
AM,2017,1148,1626300.0,3815.374742603702,8.246794167624104
AZ,2013,12,22400.0,5425.995597805777,8.598956681903726
AZ,2014,986,1662325.0,5508.602656126762,8.61406626855578
AZ,2015,659,864200.0,5500.503646284862,8.61259493907989
AZ,2016,288,339775.0,5272.718171418611,8.570301290618433
BF,2013,6,12500.0,616.7413311640822,6.424449699638341
BF,2014,407,512400.0,624.5768851876654,6.437074436779727
BF,2015,653,874975.0,630.124750752312,6.445917816849948
BF,2016,876,1072075.0,648.4204801760125,6.474539375075246
BF,2017,518,500750.0,669.2763103283327,6.506196994781747
BI,2013,37,113600.0,259.3111172033546,5.558028565529742
BI,2014,372,1107400.0,261.2967217520021,5.565656626531303
BI,2015,279,867950.0,254.40258522678766,5.538917993469317
BI,2016,167,508600.0,258.0619708089462,5.553199753012852
BI,2017,25,70300.0,261.725839288764,5.5672975409583785
BJ,2014,496,468950.0,1014.4330062135048,6.922085120824665
BJ,2017,1,50000.0,1032.9047119418244,6.94013022085892
BO,2013,119,222350.0,2793.5145709867556,7.935055784918088
BO,2014,2613,4997400.0,2900.9024158633783,7.972777145452693
BO,2015,2956,6829250.0,2996.0128981134417,8.005037649739139
BO,2016,2483,5876250.0,3077.5705756476614,8.031895790581249
BO,2017,635,1918000.0,3160.164212289682,8.058379271145233
BR,2013,1,1700.0,9366.738246702393,9.144920208621224
BR,2014,50,66200.0,9338.341708409847,9.141883968180045
BR,2015,38,50950.0,8936.195588944402,9.097865228260668
BR,2016,110,312450.0,8577.842779696673,9.056937736591848
BR,2017,85,230900.0,8628.252096457234,9.062797225494023
BT,2017,2,20000.0,3211.809032755935,8.074589618989068
BZ,2014,102,103500.0,6116.49578852783,8.718744627943913
BZ,2016,23,10525.0,6012.212969836682,8.701548174369977
CD,2013,28,122975.0,464.52671546049373,6.1410190710467045
CD,2014,761,3860050.0,481.8302418837761,6.177591856753407
CD,2015,821,2999075.0,495.8266330148833,6.206226335413076
CD,2016,880,2579925.0,480.4613778804748,6.174746846158916
CD,2017,583,1699125.0,482.8546821285406,6.17971574322527
CG,2014,97,587225.0,2488.681185489924,7.819508204766065
CG,2015,31,199025.0,2439.351894036956,7.799487665806783
CI,2017,1,50000.0,1972.8143178894707,7.587216390032502
CL,2013,4,18475.0,13182.732961985574,9.486663143312619
CL,2014,4,19250.0,13285.954036119223,9.494462668646662
CL,2015,2,84925.0,13433.920298703233,9.505538153004627
CM,2013,35,15200.0,1347.2130636705986,7.205793340346183
CM,2014,241,119900.0,1381.8193845490673,7.23115630443297
CM,2015,96,46150.0,1415.0000971056854,7.254884878703262
CM,2016,797,306525.0,1435.618307278388,7.269350911545435
CM,2017,1061,448575.0,1444.9068291657331,7.275800120381733
CN,2014,10,24200.0,7686.577929543814,8.947230960796519
CN,2015,64,158400.0,8175.332850773929,9.008876710627593
CN,2016,51,125925.0,8679.37704460133,9.068705036023728
CN,2017,9,72000.0,9221.51403820573,9.129294515456
CO,2013,188,212825.0,5910.8059230116605,8.684537467094968
CO,2014,5334,4647750.0,6121.839820198248,8.719617954543367
CO,2015,6728,4274650.0,6248.514905345122,8.740099099350715
CO,2016,7138,3871250.0,6316.070677825417,8.750852565595604
CO,2017,2607,1409125.0,6309.677452925182,8.749839837418161
CR,2013,5,3900.0,11151.14378697677,9.31929735341875
CR,2014,449,563425.0,11422.673579317625,9.343355569585272
CR,2015,552,764325.0,11714.710598073205,9.368600647100541
CR,2016,334,483125.0,12084.435132563423,9.399673550842317
CR,2017,221,340950.0,12468.565453170933,9.430965992214546
DO,2013,1,8150.0,6075.033999727373,8.71194286485603
DO,2014,150,736725.0,6430.278110513385,8.768773068320177
DO,2015,136,634075.0,6800.953093954736,8.824818042218277
DO,2016,134,460925.0,7177.753764754883,8.878741766961292
