country_code_x,kiva_year,n_loans,total_loan_amount,country_code_y,poverty_rate,poverty_year_matched,country_code,year
AF,2015.0,1,6000.0,AF,,,,
AF,2016.0,1,8000.0,AF,,,,
AL,2013.0,3,5850.0,AL,,,,
AL,2014.0,603,902550.0,AL,3.7,,,
AL,2015.0,638,844375.0,AL,1.1,,,
AL,2016.0,475,639025.0,AL,1.1,,,
AL,2017.0,215,274700.0,AL,1.4,,,
AM,2013.0,79,131725.0,AM,2.9,,,
AM,2014.0,1968,3280025.0,AM,3.4,,,
AM,2015.0,2534,3519825.0,AM,2.9,,,
AM,2016.0,2902,4357525.0,AM,2.5,,,
AM,2017.0,1148,1626300.0,AM,2.4,,,
AZ,2013.0,12,22400.0,AZ,,,,
AZ,2014.0,986,1662325.0,AZ,,,,
AZ,2015.0,659,864200.0,AZ,,,,
AZ,2016.0,288,339775.0,AZ,,,,
BF,2013.0,6,12500.0,BF,,,,
BF,2014.0,407,512400.0,BF,58.7,,,
BF,2015.0,653,874975.0,BF,,,,
BF,2016.0,876,1072075.0,BF,,,,
BF,2017.0,518,500750.0,BF,,,,
BI,2013.0,37,113600.0,BI,75.8,,,
BI,2014.0,372,1107400.0,BI,,,,
BI,2015.0,279,867950.0,BI,,,,
BI,2016.0,167,508600.0,BI,,,,
BI,2017.0,25,70300.0,BI,,,,
BJ,2014.0,496,468950.0,BJ,,,,
BJ,2017.0,1,50000.0,BJ,,,,
BO,2013.0,119,222350.0,BO,6.8,,,
BO,2014.0,2613,4997400.0,BO,5.6,,,
BO,2015.0,2956,6829250.0,BO,6.2,,,
BO,2016.0,2483,5876250.0,BO,7.2,,,
BO,2017.0,635,1918000.0,BO,6.4,,,
BR,2013.0,1,1700.0,BR,5.4,,,
BR,2014.0,50,66200.0,BR,4.7,,,
BR,2015.0,38,50950.0,BR,5.4,,,
BR,2016.0,110,312450.0,BR,6.5,,,
BR,2017.0,85,230900.0,BR,6.9,,,
BT,2017.0,2,20000.0,BT,2.6,,,
BZ,2014.0,102,103500.0,BZ,,,,
BZ,2016.0,23,10525.0,BZ,,,,
CD,2013.0,28,122975.0,CD,,,,
CD,2014.0,761,3860050.0,CD,,,,
CD,2015.0,821,2999075.0,CD,,,,
CD,2016.0,880,2579925.0,CD,,,,
CD,2017.0,583,1699125.0,CD,,,,
CG,2014.0,97,587225.0,CG,,,,
CG,2015.0,31,199025.0,CG,,,,
CI,2017.0,1,50000.0,CI,,,,
CL,2013.0,4,18475.0,CL,0.8,,,
CL,2014.0,4,19250.0,CL,,,,
CL,2015.0,2,84925.0,CL,0.7,,,
CM,2013.0,35,15200.0,CM,,,,
