iso3,year,gdp_pc_const2015,population,n_loans,total_loan_amount,kiva_active,log_gdp_pc,log_population,c_log_gdp_pc,c_log_gdp_pc_sq,institutional_pca1,institutional_index,financial_access_index
ABW,2013,26680.1411206342,105675.0,0.0,0.0,0,10.191674789394664,11.56812362543499,1.4255933044921196,2.0323162698127613,,,
ABW,2014,26773.8229102391,106807.0,0.0,0.0,0,10.195179932080267,11.578778746431539,1.4290984471777222,2.042322371725777,,,
ABW,2015,27458.2201537506,107906.0,0.0,0.0,0,10.220420861261761,11.58901575674377,1.4543393763592167,2.1151030216289155,,,
ABW,2016,27587.2498040483,108727.0,0.0,0.0,0,10.225108981345736,11.596595432329993,1.4590274964431913,2.1287612353772865,,,
ABW,2017,28548.8904317739,108735.0,0.0,0.0,0,10.25937335029299,11.596669008403088,1.4932918653904448,2.2299205952412744,,,
AFG,2013,580.603833333096,31622704.0,0.0,0.0,0,6.364068653933694,17.26938590158588,-2.40201283096885,5.7696656401389905,-2.080862286289141,-1.8086211856510364,-0.8064937214657864
AFG,2014,575.146245808546,32792523.0,1.0,6000.0,1,6.354624348994881,17.30571109005108,-2.4114571359076633,5.815125518319991,-2.080862286289141,-1.8086211856510364,-0.8064937214657864
AFG,2015,565.569730408751,33831764.0,0.0,0.0,0,6.337833595485375,17.33691068246577,-2.42824788941717,5.896387812458941,-2.080862286289141,-1.8086211856510364,-0.8064937214657864
AFG,2016,563.872336723147,34700612.0,1.0,8000.0,1,6.334827872548525,17.362267881649167,-2.43125361235402,5.910994127584471,-2.080862286289141,-1.8086211856510364,-0.8064937214657864
AFG,2017,562.769574140988,35688935.0,0.0,0.0,0,6.3328702621956765,17.390351254729715,-2.433211222706868,5.920516854306652,-2.080862286289141,-1.8086211856510364,-0.8064937214657864
AGO,2013,3716.29718727597,26165620.0,0.0,0.0,0,8.22048307178325,17.079956893284507,-0.5455984131192952,0.29767762839829315,,,
AGO,2014,3746.81619978931,27160769.0,0.0,0.0,0,8.228661744958945,17.11728417395056,-0.5374197399435996,0.2888199768810462,,,
AGO,2015,3641.72893920253,28157798.0,0.0,0.0,0,8.200213831159326,17.15333489017392,-0.5658676537432186,0.3202062015528551,,,
AGO,2016,3505.59634681792,29183070.0,0.0,0.0,0,8.16211592674171,17.18909930457212,-0.6039655581608354,0.36477439544452944,,,
AGO,2017,3378.07588102598,30234839.0,0.0,0.0,0,8.125061560415029,17.22450542672075,-0.6410199244875159,0.4109065435899806,,,
ALB,2013,3895.89975621942,2816902.0,506.0,783475.0,1,8.267679934508259,14.851148257470973,-0.498401550394286,0.248404105435428,0.4953361171125194,0.4189168349289578,0.3316761250059135
ALB,2014,4045.11934884933,2773767.0,597.0,897825.0,1,8.305266334335276,14.835716882097046,-0.46081515056726907,0.21235060299233485,0.4953361171125194,0.4189168349289578,0.3316761250059135
ALB,2015,4199.53912925398,2731293.0,637.0,841975.0,1,8.342730067120554,14.8202856814092,-0.4233514177819906,0.17922642293802155,0.4953361171125194,0.4189168349289578,0.3316761250059135
ALB,2016,4431.55635814168,2689469.0,476.0,639050.0,1,8.396506123719536,14.804854334323002,-0.36957536118300816,0.13658594759355094,0.4953361171125194,0.4189168349289578,0.3316761250059135
ALB,2017,4648.23078660658,2648285.0,529.0,734400.0,1,8.444241950183459,14.789422818646306,-0.32183953471908566,0.10358068610819754,0.4953361171125194,0.4189168349289578,0.3316761250059135
AND,2013,35684.1694347737,75194.0,0.0,0.0,0,10.482462436222539,11.227826719520717,1.7163809513199944,2.9459635700541287,,,
AND,2014,37300.6244197096,73737.0,0.0,0.0,0,10.526765345966576,11.208259987478034,1.760683861064031,3.100007658611344,,,
AND,2015,38654.9347217207,72174.0,0.0,0.0,0,10.562429723012254,11.186835149222128,1.7963482381097098,3.2268669925598585,,,
AND,2016,40085.020598622,72181.0,0.0,0.0,0,10.598757992350489,11.186932132354066,1.8326765074479443,3.3587031809515953,,,
AND,2017,39361.0622648699,73763.0,0.0,0.0,0,10.580532339238744,11.208612529854566,1.814450854336199,3.2922319028013627,,,
ARE,2013,44312.6320463505,7693031.0,0.0,0.0,0,10.699025063159477,15.855825412070285,1.932943578256932,3.736270876724712,,,
ARE,2014,44257.6652085451,8059440.0,0.0,0.0,0,10.697783860486215,15.90235463316085,1.9317023755836704,3.7314740678355958,,,
ARE,2015,44910.3458860776,8505237.0,0.0,0.0,0,10.712423467812927,15.95619264938505,1.9463419829103827,3.7882471144395207,,,
ARE,2016,45168.4955973912,8935095.0,0.0,0.0,0,10.718155122745136,16.005497338863854,1.9520736378425916,3.8105914875600093,,,
ARE,2017,43293.0202360765,9223225.0,0.0,0.0,0,10.67574670552552,16.037235317453195,1.9096652206229763,3.6468212548570005,,,
ARG,2013,13946.0950832252,42582455.0,0.0,0.0,0,9.54295482571449,17.566952871944164,0.7768733408119459,0.6035321876643139,,,
ARG,2014,13456.1319159151,43024071.0,0.0,0.0,0,9.507190185666095,17.577270307731148,0.7411087007635508,0.5492421063474383,,,
ARG,2015,13679.6264980954,43477012.0,0.0,0.0,0,9.52366288803301,17.58774289660472,0.757581403130466,0.5739295823691256,,,
ARG,2016,13265.8860639123,43900313.0,0.0,0.0,0,9.492951061469718,17.59743200786053,0.7268695765671733,0.5283393813389419,,,
ARG,2017,13520.1129846159,44288894.0,0.0,0.0,0,9.511933706412325,17.606244503810657,0.7458522215097805,0.5562955363310746,,,
ARM,2013,3266.29882999873,3022000.0,2218.0,4035775.0,1,8.09141276658874,14.921429421814821,-0.6746687183138054,0.45517787947119287,0.2705156398593861,0.2624953196700972,0.4868735535433223
ARM,2014,3393.09252326884,3013800.0,2021.0,3366000.0,1,8.129497033280357,14.918712298966192,-0.6365844516221877,0.4052397640471214,0.2705156398593861,0.2624953196700972,0.4868735535433223
ARM,2015,3512.39350276709,3004600.0,2410.0,3336250.0,1,8.164052993685441,14.91565500561046,-0.6020284912171032,0.36243830423714174,0.2705156398593861,0.2624953196700972,0.4868735535433223
ARM,2016,3533.88503607007,2992300.0,2987.0,4482650.0,1,8.170153121527093,14.911552880429745,-0.5959283633754513,0.3551306142753439,0.2705156398593861,0.2624953196700972,0.4868735535433223
ARM,2017,3815.3747426037,2979400.0,2107.0,3073425.0,1,8.246794167624104,14.90723249592763,-0.5192873172784402,0.2696593178862395,0.2705156398593861,0.2624953196700972,0.4868735535433223
ASM,2013,11871.7937192729,54006.0,0.0,0.0,0,9.381920589858035,10.89685043048514,0.6158391049554908,0.37925780319237995,,,
ASM,2014,12203.0894714284,53466.0,0.0,0.0,0,9.40944443402567,10.886801216840775,0.6433629491231247,0.4139158843044044,,,
ASM,2015,12727.4102651386,52878.0,0.0,0.0,0,9.451513235281285,10.875742652327716,0.6854317503787399,0.46981668442726326,,,
