iso3,year,gdp_pc_const2015,population
ABW,2013,26680.1411206342,105675.0
ABW,2014,26773.8229102391,106807.0
ABW,2015,27458.2201537506,107906.0
ABW,2016,27587.2498040483,108727.0
ABW,2017,28548.8904317739,108735.0
AFG,2013,580.603833333096,31622704.0
AFG,2014,575.146245808546,32792523.0
AFG,2015,565.569730408751,33831764.0
AFG,2016,563.872336723147,34700612.0
AFG,2017,562.769574140988,35688935.0
AGO,2013,3716.29718727597,26165620.0
AGO,2014,3746.81619978931,27160769.0
AGO,2015,3641.72893920253,28157798.0
AGO,2016,3505.59634681792,29183070.0
AGO,2017,3378.07588102598,30234839.0
ALB,2013,3895.89975621942,2816902.0
ALB,2014,4045.11934884933,2773767.0
ALB,2015,4199.53912925398,2731293.0
ALB,2016,4431.55635814168,2689469.0
ALB,2017,4648.23078660658,2648285.0
AND,2013,35684.1694347737,75194.0
AND,2014,37300.6244197096,73737.0
AND,2015,38654.9347217207,72174.0
AND,2016,40085.020598622,72181.0
AND,2017,39361.0622648699,73763.0
ARE,2013,44312.6320463505,7693031.0
ARE,2014,44257.6652085451,8059440.0
ARE,2015,44910.3458860776,8505237.0
ARE,2016,45168.4955973912,8935095.0
ARE,2017,43293.0202360765,9223225.0
ARG,2013,13946.0950832252,42582455.0
ARG,2014,13456.1319159151,43024071.0
ARG,2015,13679.6264980954,43477012.0
ARG,2016,13265.8860639123,43900313.0
ARG,2017,13520.1129846159,44288894.0
ARM,2013,3266.29882999873,3022000.0
ARM,2014,3393.09252326884,3013800.0
ARM,2015,3512.39350276709,3004600.0
ARM,2016,3533.88503607007,2992300.0
ARM,2017,3815.3747426037,2979400.0
ASM,2013,11871.7937192729,54006.0
ASM,2014,12203.0894714284,53466.0
ASM,2015,12727.4102651386,52878.0
ASM,2016,12665.2829921268,52245.0
ASM,2017,11930.7771236826,51586.0
ATG,2013,15748.1952024226,88064.0
ATG,2014,15967.284996712,88765.0
ATG,2015,16077.6340769406,89409.0
ATG,2016,16635.895232831,89969.0
ATG,2017,16992.9327495236,90468.0
AUS,2013,55966.1509270561,23128129.0
AUS,2014,56571.8062524437,23475686.0
AUS,2015,56970.3613028094,23815995.0
AUS,2016,57632.9995925594,24190907.0
AUS,2017,57991.771347333,24592588.0
AUT,2013,43851.3675497404,8479823.0
AUT,2014,43838.8345892137,8546356.0
AUT,2015,43915.228020857,8642699.0
AUT,2016,44362.6702805116,8736668.0
AUT,2017,45056.6385912412,8797566.0
AZE,2013,5425.99559780578,9416801.0
AZE,2014,5508.60265612676,9535079.0
AZE,2015,5500.50364628486,9649341.0
AZE,2016,5272.71817141861,9757812.0
AZE,2017,5229.25259993413,9854033.0
BDI,2013,259.311117203355,10439341.0
BDI,2014,261.296721752002,10799785.0
BDI,2015,254.402585226788,11047580.0
BDI,2016,258.061970804063,11239451.0
BDI,2017,261.725839287239,11506762.0
BEL,2013,40007.8997891411,11159407.0
BEL,2014,40533.9135027898,11209057.0
BEL,2015,40893.804537772,11274196.0
BEL,2016,41172.8862831209,11331422.0
BEL,2017,41619.328629169,11375158.0
BEN,2013,982.399206290516,10708834.0
BEN,2014,1014.4330062135,11030004.0
BEN,2015,1002.41886879614,11360681.0
BEN,2016,1006.03926633023,11697842.0
BEN,2017,1032.90471194182,12039780.0
BFA,2013,616.741331164082,17695409.0
BFA,2014,624.576885187665,18229461.0
BFA,2015,630.124750752312,18777487.0
BFA,2016,648.420480176012,19334856.0
BFA,2017,669.276310328333,19894407.0
BGD,2013,1103.15695907123,156532141.0
BGD,2014,1159.40753475981,157964929.0
BGD,2015,1224.38647668165,159383179.0
BGD,2016,1299.83091360792,160811932.0
BGD,2017,1373.75363740186,162186147.0
BGR,2013,6793.08253592745,7160005.0
BGR,2014,6941.37319825776,7073572.0
BGR,2015,7269.02586513711,6984225.0
BGR,2016,7586.89174668116,6894139.0
BGR,2017,7899.11056589871,6803468.0
BHR,2013,24271.6278814506,1253191.0
BHR,2014,24135.4991304849,1314562.0
